timestamp,open,high,low,close,volume
1731501540000,207.03,207.52,207.0,207.48,254.1473
1731501600000,207.48,208.12,207.48,208.01,422.5863
1731501660000,208.01,208.09,207.45,207.72,449.6218
1731501720000,207.72,208.27,207.71,208.15,429.4796
1731501780000,208.15,208.16,207.81,208.0,157.8503
1731501840000,208.0,208.16,207.95,208.15,106.662
1731501900000,208.15,208.35,207.74,207.79,191.1161
1731501960000,207.79,207.96,207.47,207.48,277.4405
1731502020000,207.48,207.63,207.31,207.56,330.4919
1731502080000,207.56,208.01,207.54,207.94,223.9388
1731502140000,207.94,208.3,207.94,208.1,239.5682
1731502200000,208.1,208.33,207.89,208.07,219.6871
1731502260000,208.07,208.37,208.0,208.08,232.0067
1731502320000,208.08,208.33,207.93,208.28,258.9301
1731502380000,208.28,208.49,207.87,207.88,384.3921
1731502440000,207.88,208.18,207.73,208.18,354.7402
1731502500000,208.18,208.18,207.47,207.5,754.9507
1731502560000,207.5,207.65,207.38,207.6,326.716
1731502620000,207.6,207.96,207.52,207.62,794.6835
1731502680000,207.62,207.73,207.3,207.54,662.3463
1731502740000,207.54,207.58,207.26,207.47,489.9812
1731502800000,207.47,207.74,206.94,207.07,761.0595
1731502860000,207.07,207.45,206.97,207.37,356.3373
1731502920000,207.37,207.39,207.05,207.27,457.6061
1731502980000,207.27,207.66,207.11,207.64,497.0659
1731503040000,207.64,207.73,207.38,207.57,574.6437
1731503100000,207.57,207.68,207.08,207.09,344.5855
1731503160000,207.09,207.47,206.96,207.4,374.4413
1731503220000,207.4,207.56,207.31,207.32,440.3533
1731503280000,207.32,207.37,206.93,206.98,302.6011
1731503340000,206.98,206.99,206.66,206.84,473.5864
1731503400000,206.84,206.95,206.45,206.81,313.3497
1731503460000,206.81,207.11,206.64,206.84,472.3777
1731503520000,206.84,207.05,206.65,206.93,277.594
1731503580000,206.93,206.93,206.65,206.78,375.2359
1731503640000,206.78,207.05,206.66,206.8,409.4239
1731503700000,206.8,206.98,206.69,206.93,405.0197
1731503760000,206.93,207.2,206.83,207.01,221.2282
1731503820000,207.01,207.38,206.91,207.31,430.8103
1731503880000,207.31,207.31,206.99,207.24,658.5597
1731503940000,207.24,207.29,206.84,206.98,388.8588
1731504000000,206.98,207.35,206.78,206.99,537.4959
1731504060000,206.99,207.61,206.91,207.57,456.7338
1731504120000,207.57,208.1,207.5,208.02,669.6966
1731504180000,208.02,208.5,207.96,208.42,386.9343
1731504240000,208.42,208.43,207.98,208.07,733.8247
1731504300000,208.07,208.4,208.01,208.01,688.5141
1731504360000,208.01,208.33,207.32,208.14,1487.9149
1731504420000,208.14,208.53,207.86,207.97,1565.8012
1731504480000,207.97,208.41,207.94,208.25,616.1372
1731504540000,208.25,208.35,207.71,208.22,674.8597
1731504600000,208.22,210.31,208.12,209.85,4057.9553
1731504660000,209.85,210.56,209.85,210.07,2918.2262
1731504720000,210.07,210.07,208.02,208.02,1901.1074
1731504780000,208.02,208.75,207.45,208.16,3708.4524
1731504840000,208.16,209.41,207.99,209.41,2074.7733
1731504900000,209.41,209.53,208.9,208.97,1686.7609
1731504960000,208.97,209.27,208.5,208.63,617.0135
1731505020000,208.63,209.44,208.51,209.36,709.8839
1731505080000,209.36,209.87,209.07,209.66,661.5842
1731505140000,209.66,211.65,209.4,211.04,7134.9583
1731505200000,211.04,211.73,210.76,211.72,2491.4914
1731505260000,211.72,212.37,211.5,212.23,2382.9106
1731505320000,212.23,214.32,212.23,214.2,5152.431
1731505380000,214.2,214.38,213.6,213.98,4133.1237
1731505440000,213.98,214.93,213.5,214.69,4699.6049
1731505500000,214.69,214.85,213.63,214.4,3066.6758
1731505560000,214.4,214.87,214.36,214.49,1498.3219
1731505620000,214.49,215.14,214.1,215.01,741.8865
1731505680000,215.01,215.25,214.65,214.65,1774.7602
1731505740000,214.65,215.04,214.44,214.63,1891.186
1731505800000,214.63,215.08,213.9,214.73,2040.8046
1731505860000,214.73,214.74,213.1,213.25,3644.6471
1731505920000,213.25,213.79,212.88,213.51,3204.7368
1731505980000,213.51,214.47,213.51,214.07,1078.1809
1731506040000,214.07,214.25,213.57,213.79,654.8031
1731506100000,213.79,213.8,212.9,213.19,721.1642
1731506160000,213.19,213.2,211.82,211.89,1684.1631
1731506220000,211.89,212.37,211.67,212.14,1820.4061
1731506280000,212.14,212.25,211.56,212.18,890.8549
1731506340000,212.18,212.73,211.99,212.44,942.7114
1731506400000,212.44,212.54,211.33,211.57,1196.1836
1731506460000,211.57,212.14,211.19,211.84,740.0063
1731506520000,211.84,211.88,210.51,210.59,1333.337
1731506580000,210.59,211.0,209.9,211.0,1270.1821
1731506640000,211.0,211.46,210.67,211.05,497.1025
1731506700000,211.05,211.65,210.67,211.42,588.3258
1731506760000,211.42,212.0,211.36,211.92,627.4541
1731506820000,211.92,213.75,211.84,213.74,2553.5597
1731506880000,213.74,213.75,213.07,213.16,2109.3579
1731506940000,213.16,213.23,212.08,212.17,1235.612
1731507000000,212.17,212.75,211.67,211.96,1054.5966
1731507060000,211.96,212.03,211.04,211.49,880.0718
1731507120000,211.49,212.08,211.43,211.49,542.7881
1731507180000,211.49,211.87,211.04,211.8,478.0963
1731507240000,211.8,211.91,210.79,210.79,1091.0335
1731507300000,210.79,211.45,210.68,210.86,632.3236
1731507360000,210.86,211.26,210.61,211.1,357.3154
1731507420000,211.1,211.13,210.08,210.19,1211.2114
1731507480000,210.19,210.92,210.1,210.77,378.0215
1731507540000,210.77,210.92,210.52,210.71,245.9106
1731507600000,210.71,211.48,210.64,211.32,595.2662
1731507660000,211.32,212.01,211.31,211.71,593.2734
1731507720000,211.71,211.71,210.82,211.2,861.2977
1731507780000,211.2,211.72,211.2,211.47,391.2821
1731507840000,211.47,211.98,211.26,211.94,649.7366
1731507900000,211.94,212.41,211.74,211.89,480.6345
1731507960000,211.89,212.46,211.88,212.28,420.9803
1731508020000,212.28,212.56,212.2,212.52,305.7931
1731508080000,212.52,212.66,212.24,212.63,199.6928
1731508140000,212.63,212.63,212.28,212.3,352.7119
1731508200000,212.3,212.69,211.61,212.17,705.4425
1731508260000,212.17,214.07,212.15,214.0,1723.6836
1731508320000,214.0,214.46,213.28,214.46,2472.608
1731508380000,214.46,215.4,214.39,215.22,1722.4404
1731508440000,215.22,215.42,214.45,215.42,1068.9654
1731508500000,215.42,215.65,215.05,215.33,1469.9603
1731508560000,215.33,215.33,213.69,214.39,1788.1847
1731508620000,214.39,214.8,214.07,214.21,1529.8537
1731508680000,214.21,214.63,213.07,213.38,726.2563
1731508740000,213.38,214.08,213.37,214.06,987.1019
1731508800000,214.06,214.99,213.72,214.93,653.3391
1731508860000,214.93,215.09,214.28,214.9,957.1867
1731508920000,214.9,215.65,214.87,215.5,519.6619
1731508980000,215.5,215.5,214.93,215.1,791.4977
1731509040000,215.1,215.71,215.07,215.52,624.6794
1731509100000,215.52,215.57,214.23,214.58,1764.7163
1731509160000,214.58,214.99,214.02,214.87,1572.6391
1731509220000,214.87,215.16,214.69,215.1,870.1701
1731509280000,215.1,215.45,214.73,215.29,1048.6511
1731509340000,215.29,215.33,214.62,215.32,539.5723
1731509400000,215.32,215.39,214.93,215.23,483.2807
1731509460000,215.23,216.58,215.23,216.51,593.4896
1731509520000,216.51,216.98,216.44,216.98,935.083
1731509580000,216.98,217.25,216.2,216.89,1393.3102
1731509640000,216.89,217.07,216.34,217.07,870.4629
1731509700000,217.07,217.14,215.97,216.64,827.2506
1731509760000,216.64,216.95,216.38,216.6,623.4715
1731509820000,216.6,217.04,216.39,216.64,588.1428
1731509880000,216.64,217.13,216.49,216.78,715.4937
1731509940000,216.78,216.8,216.03,216.71,967.0062
1731510000000,216.71,216.74,214.97,214.99,1181.0039
1731510060000,214.99,215.05,214.48,214.5,861.2547
1731510120000,214.5,214.99,213.85,214.34,1155.6492
1731510180000,214.34,214.38,212.23,212.61,3270.5894
1731510240000,212.61,213.3,212.46,213.1,1563.72
1731510300000,213.1,213.21,212.51,213.21,919.2422
1731510360000,213.21,213.21,212.19,212.48,983.7213
1731510420000,212.48,212.57,211.57,211.78,1269.8453
1731510480000,211.78,213.36,211.76,212.8,1869.0517
1731510540000,212.8,213.67,212.73,213.51,1553.6579
1731510600000,213.51,214.95,213.5,214.56,1596.0881
1731510660000,214.56,215.77,214.5,214.64,2157.2271
1731510720000,214.64,216.14,214.64,216.11,1329.0602
1731510780000,216.11,216.97,215.55,215.55,1323.8668
1731510840000,215.55,216.09,215.48,215.49,911.771
1731510900000,215.49,215.99,214.96,214.96,405.6217
1731510960000,214.96,215.84,214.89,215.42,819.2832
1731511020000,215.42,215.95,215.34,215.71,340.0763
1731511080000,215.71,216.01,215.43,215.44,532.075
1731511140000,215.44,216.18,215.28,215.28,737.0145
1731511200000,215.28,216.27,215.28,216.12,446.7123
1731511260000,216.12,216.43,215.9,216.15,581.9377
1731511320000,216.15,216.15,215.42,215.43,324.997
1731511380000,215.43,215.68,215.3,215.47,510.3881
1731511440000,215.47,215.87,215.22,215.37,484.0516
1731511500000,215.37,215.49,214.76,215.07,996.4879
1731511560000,215.07,215.21,214.87,214.97,665.5622
1731511620000,214.97,215.23,214.67,215.07,436.309
1731511680000,215.07,215.31,214.92,215.03,703.1421
1731511740000,215.03,215.63,214.99,215.56,322.6787
1731511800000,215.56,215.77,215.32,215.32,458.9403
1731511860000,215.32,215.32,214.4,214.58,481.9013
1731511920000,214.58,214.99,214.21,214.88,600.1432
1731511980000,214.88,214.94,214.47,214.79,364.1553
1731512040000,214.79,214.93,214.49,214.61,362.2522
1731512100000,214.61,214.67,213.87,214.13,583.4053
1731512160000,214.13,214.57,214.0,214.42,397.3408
1731512220000,214.42,214.61,214.13,214.19,235.4385
1731512280000,214.19,214.32,213.92,213.92,326.5568
1731512340000,213.92,214.05,213.51,213.73,802.9062
1731512400000,213.73,213.73,213.3,213.45,207.88
1731512460000,213.45,214.39,213.43,214.39,295.4367
1731512520000,214.39,214.65,214.09,214.5,444.2416
1731512580000,214.5,214.78,214.38,214.67,151.2845
1731512640000,214.67,214.93,214.42,214.83,185.1242
1731512700000,214.83,215.29,214.58,215.29,612.0899
1731512760000,215.29,215.53,215.13,215.33,318.7517
1731512820000,215.33,215.58,215.12,215.54,253.7425
1731512880000,215.54,215.85,215.48,215.74,279.6314
1731512940000,215.74,215.77,215.23,215.66,472.9853
1731513000000,215.66,215.99,215.11,215.97,583.3062
1731513060000,215.97,215.98,215.22,215.48,434.1486
1731513120000,215.48,215.48,214.79,215.29,459.4844
1731513180000,215.29,215.31,214.89,215.12,263.2645
1731513240000,215.12,215.46,214.79,215.45,385.6459
1731513300000,215.45,215.85,215.3,215.84,532.4569
1731513360000,215.84,216.0,215.63,215.8,225.2718
1731513420000,215.8,216.3,215.73,216.3,358.0619
1731513480000,216.3,216.35,216.19,216.23,144.5527
